開卷有益(개권유익),책을 열면 이로움이 있음,開:열 개 卷:책 권 有:있을 유 益:더할 익,
手不釋卷(수불석권),손에서 책을 놓지 않음,手:손 수 不:아닐 불 釋:놓을 석 卷:책 권,
讀書三昧(독서삼매),잡념 없이 오직 책을 읽는 데에만 몰두한 경지,讀:읽을 독 書:글 서 三:석 삼 昧:어두울 매,
溫故知新(온고지신),옛 것을 익히고 새로운 것을 앎,溫:익힐 온 故:옛 고 知:알 지 新:새 신,
日就月將(일취월장),날로 달로 나아짐,日:날 일 就:나아갈 취 月:달 월 將:나아갈 장,
晝耕夜讀(주경야독),낮에는 밭갈고 밤에는 공부함,晝:낮 주 耕:밭갈 경 夜:밤 야 讀:읽을 독,
螢雪之功(형설지공),반딧불과 눈의 공로,螢:반딧불이 형 雪:눈 설 之:어조사 지 功:공 공,
靑雲之志(청운지지),푸른 구름의 뜻,靑:푸를 청 雲:구름 운 之:의 지 志:뜻 지,
立身揚名(입신양명),몸을 세우고 이름을 날림, 立:설 립 身:몸 신 揚:오를 양 名:이름 명,
欲速不達(욕속부달),빨리 하려고 서두르면 일을 이루지 못함,欲:하고자 할 욕 速:빠를 속 不:아닐 부 達:통달할 달,
大器晩成(대기만성),큰 그릇은 늦게 이뤄짐, 大:큰 대 器:그릇 기 晩:늦을 만 成:이룰 성,
自强不息(자강불식),스스로 힘쓰며 쉬지 않음, 自:스스로 자 强:힘쓸 강 不:아닐 불 息:쉴 식,
敎學相長(교학상장),가르치고 배우는 일이 서로 도움이 되어 발전시킴, 敎:가르칠 교 學:배울 학 相:서로 상 長:클 장,
先見之明(선견지명),일이 일어나기 전에 미리 아는 밝은 자세, 先:먼저 선 見:볼 견 之:어조사 지 明:밝을 명,
他山之石(타산지석),남의 산의 돌도 자기의 옥을 가는 데 도움이 됨, 他:다를 타 山:뫼 산 之:어조사 지 石:돌 석,
知己之友(지기지우),자기를 잘 이해해 주는 참다운 친구, 知:알 지 己:몸 기 之:갈 지 友:벗 우,
莫逆之友(막역지우),허물 없이 지내는 친구, 莫:말 막 逆:거스릴 역 之:어조사 지 友:벗 우,
金石之交(금석지교),금석같이 굳은 사귐, 金:쇠 금 蘭:난초 란 之:갈 지 契:맺을 계,
