[상식]℃는 섭씨온도이면 K는 화씨온도이다.,O,X,2,답은 X로 ℃는 '섭씨온도' K는 '절대온도' ˚F는 '화씨온도' 이다 ,
[상식]e-mail의 e는 electronic의 약자이다,O,X,1,답은 O로 전자 우편물의 줄임말로 'e-banking' 'e-book' 등 과 같은 이유이다,
[상식]100원 동전 인물은 '광개토대왕'이다.,O,X,2,답은 X로 100원 '이순신 장군'이다 500원 '학' 50원 '벼', 10원 '다보탑' 이다,
[상식]개천절은 독립을 기리기 위한 날이다,O,X,2,답은 X로 개천절은 우리나라 건국 기념일이며 독립을 기리기 위한 날은 '3.1절'이다,
[상식]구기 종목 중 가장 작은 공을 사용하는 경기는 골프이다,O,X,2,답은 X로 골프는 4.3cm이고 탁구는 구기 종목 중 가장 작은 직경 4cm 공을 사용한다,
[상식]낙타의 혹 내부는 대부분 물로 차있다,O,X,2,답은 X로 낙타의 혹 내부는 물 대신 지방으로 이루어져있다,
[상식]남대문의 원래 이름은 흥인지문이다,O,X,2,답은 X로 남대문의 원래 이름은 숭례문이며 '동대문-흥인지문' '서대문-돈의문' '북대문-홍지문'이다,
[상식]대한민국 국가 권력은 입법·사법·행정 부로 나뉜다.,O,X,1,답은 O로 3권분립이라고 한다.,
[상식]달은 스스로 빛을 낸다.,O,X,2,답은 X로 우리가 보는 달의 빛은 태양의 빛의 달의 표면이 반사돼어 보이는 것이다.,
[상식]대한민국의 광역시는 총 6개이다,O,X,1,답은 O로 인천·대전·대구·부산·울산·광주 6개이다,
[상식]바다에 사는 상어는 부레가 없다,O,X,1,답은 O로 바다에 사는 수많은 물고기 가운데 유독 상어만 부레가 없으며 부레가 없으면 물고기는 가라앉기 때문에 잠시라도 멈추면 죽게 된다.,
[상식]세계의 땅 여섯개의 큰 대륙 중 가장 큰 대륙은 유럽 대륙이다,O,X,2,아시아 대륙이다,
[상식]세계에서 가장 긴 건축물은 만리장성이다,O,X,1,답은 O로 만리장성의 총 길이는 8851.8Km 입니다.,
[상식]소리의 측정 단위는 dB(데시벨)이다,O,X,1,답은 O로 소리의 크기는 dBSPL와 dBA,
[상식]위가 없어도 사람은 살 수 있다.,O,X,1,답은 O로 위를 없애면 식도에서 소장과 직접 연결되므로 처음에는 조금만 먹어도 포만감을 느끼거나 목에 걸린 듯 하지만 시간이 지나면 차츰 정상적인 생활이 가능하다,
[상식]인구가 제일 많은 나라는 인도이다.,O,X,2,답은 X로 인구가 제일 많은 나라는 중국이며 인도는 2위이다,
